[EE__x(t) = .067626, EE__y(t) = .67390541679, EE__angle(t) = -.07141825133]
[EE__x(t) = .070751, EE__y(t) = .67396209424, EE__angle(t) = -.06936284047]
[EE__x(t) = .07383, EE__y(t) = .67402260168, EE__angle(t) = -.06742816217]
[EE__x(t) = .076859, EE__y(t) = .67408412913, EE__angle(t) = -.06554182869]
[EE__x(t) = .079839, EE__y(t) = .67414426657, EE__angle(t) = -.06363761805]
[EE__x(t) = .082769, EE__y(t) = .67420204402, EE__angle(t) = -.06166549176]
[EE__x(t) = .085644, EE__y(t) = .67425690146, EE__angle(t) = -.05958465713]
[EE__x(t) = .088464, EE__y(t) = .67430825891, EE__angle(t) = -.05737412467]
[EE__x(t) = .091227, EE__y(t) = .67435494635, EE__angle(t) = -.05502283301]
[EE__x(t) = .093931, EE__y(t) = .6743971538, EE__angle(t) = -.05253586651]
[EE__x(t) = .096574, EE__y(t) = .67443636124, EE__angle(t) = -.04992603696]
[EE__x(t) = .099149, EE__y(t) = .67447608869, EE__angle(t) = -.04721718347]
[EE__x(t) = .101653, EE__y(t) = .67451787614, EE__angle(t) = -.04443804382]
[EE__x(t) = .104086, EE__y(t) = .67456038358, EE__angle(t) = -.04162267621]
[EE__x(t) = .106447, EE__y(t) = .67460019103, EE__angle(t) = -.03880681069]
[EE__x(t) = .108734, EE__y(t) = .67463349847, EE__angle(t) = -.03602470884]
[EE__x(t) = .11095, EE__y(t) = .67465861592, EE__angle(t) = -.03330944362]
[EE__x(t) = .113098, EE__y(t) = .67467611336, EE__angle(t) = -.03069025575]
[EE__x(t) = .115174, EE__y(t) = .67468829081, EE__angle(t) = -.02819393972]
[EE__x(t) = .117179, EE__y(t) = .67469671125, EE__angle(t) = -.02584110165]
[EE__x(t) = .119111, EE__y(t) = .6747021057, EE__angle(t) = -.02364905652]
[EE__x(t) = .120971, EE__y(t) = .67470387314, EE__angle(t) = -.02162897365]
[EE__x(t) = .122761, EE__y(t) = .67470075459, EE__angle(t) = -.01978920408]
[EE__x(t) = .124477, EE__y(t) = .67469253803, EE__angle(t) = -.01813462168]
[EE__x(t) = .126122, EE__y(t) = .67467955448, EE__angle(t) = -.01666783614]
[EE__x(t) = .127693, EE__y(t) = .67466218292, EE__angle(t) = -.01538557674]
[EE__x(t) = .129191, EE__y(t) = .67463971037, EE__angle(t) = -.01428187471]
[EE__x(t) = .130619, EE__y(t) = .67461018782, EE__angle(t) = -.01334742829]
[EE__x(t) = .131973, EE__y(t) = .67457190526, EE__angle(t) = -.01257091478]
[EE__x(t) = .133259, EE__y(t) = .67452334271, EE__angle(t) = -.01193624698]
[EE__x(t) = .134472, EE__y(t) = .67446349415, EE__angle(t) = -.0114252594]
[EE__x(t) = .135614, EE__y(t) = .6743922176, EE__angle(t) = -.01101771491]
[EE__x(t) = .136683, EE__y(t) = .67431004504, EE__angle(t) = -.01069209695]
