-.1342243350,.6327779345,-.5778537180e-1
-.1431797045,.6586651678,.6346543597e-2
-.1533744464,.6830459221,.6821590427e-1
-.1646920527,.7060618154,.1282623358
-.1770440870,.7278203434,.1868383753
-.1232159047,.5179425042,-.4495876799
-.1214554328,.5568550305,-.3583755581
-.1229062342,.5918641985,-.2763319486
-.1267804900,.6239276150,-.2007132325
-.1325996941,.6536269121,-.1298556789
-.1400481948,.6813457719,-.6265630573e-1
-.1489058129,.7073518229,.1664481269e-2
-.1590128639,.7318391676,.6368557940e-1
-.1702503606,.7549524355,.1238544645
-.1399142597,.5188808766,-.5705407424
-.1326643780,.5644658794,-.4624406059
-.1303964017,.6039952846,-.3697238882
-.1314807494,.6394498833,-.2866682734
-.1350694477,.6718603996,-.2103187884
-.1406544702,.7018443493,-.1389092954
-.1479036908,.7298054362,-.7128050756e-1
-.1565868738,.7560235175,-.6619059075e-2
-.1665377644,.7807006776,.5567548870e-1
-.1730728608,.5024476783,-.7421903197
-.1538429270,.5625946404,-.5942412578
-.1452924303,.6097605622,-.4819756726
-.1422226568,.6502645673,-.3868551984
-.1427373963,.6864115347,-.3022076998
-.1458867827,.7193560427,-.2247194793
-.1511141081,.7497747784,-.1524551593
-.1580605602,.7781038863,-.8416399042e-1
-.1664798187,.8046427718,-.1897844251e-1
-.2465583610+.5864541074e-1*I,.4399848818+.7128452512e-1*I,-1.047197551+.2144296643*I
-.1968999635,.5371181764,-.7950976679
-.1723453822,.6037373428,-.6287066876
-.1617350084,.6534070800,-.5097452637
-.1574569210,.6953798124,-.4109453143
-.1571349926,.7325437640,-.3239203615
-.1596492405,.7662602940,-.2447561303
-.1643650067,.7973008394,-.1712454220
-.1708818928,.8261520924,-.1019944660
-.2406693569+.1223045169*I,.4774552359+.1486632849*I,-1.047197551+.4366206039*I
-.2587109715+.7963355470e-1*I,.4922979791+.9679598222e-1*I,-1.047197551+.2893520952*I
-.2339183143,.5592065318,-.8887137600
-.1969655834,.6408958655,-.6784519152
-.1829686215,.6946820611,-.5482626681
-.1768646916,.7388741366,-.4437872335
-.1753283044,.7775142846,-.3532350829
-.1769423640,.8123250094,-.2716391610
-.1809445713,.8442328978,-.1963454094
-.2372994840+.1679447436*I,.5159462729+.2041397808*I,-1.047197551+.5848666674*I
-.2553410990+.1376628266*I,.5307890164+.1673315798*I,-1.047197551+.4876542153*I
-.2733827140+.1006840843*I,.5456317599+.1223832700*I,-1.047197551+.3629454450*I
